DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Esmeralda 759,,Inst. Coleg. de Ntra. Sra.,I Colegio de Nuestra Seńora,4393-5795/7489,nuestrasenora@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.3781251328649,-34.5996156801794,"{""type"":""Point"",""coordinates"":[-58.37813,-34.59962]}"
Juncal 1160,,Inst. Priv. Mallinckrodt,Inst. Priv. Mallinckrodt,4811-2962,,IniCom - PriCom - MedCom,Gestion Privada,-58.3837888657207,-34.5929217064269,"{""type"":""Point"",""coordinates"":[-58.38379,-34.59292]}"
Viamonte 1892,,Inst. Paula Montal,Inst. Paula Montal,4813-5691,pmontal@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.3940236744916,-34.600959214448,"{""type"":""Point"",""coordinates"":[-58.39402,-34.60096]}"
Larrea 1254,,Inst. San Miguel,Inst. San Miguel,4826-7026,,IniCom - PriCom - MedCom,Gestion Privada,-58.4004128231576,-34.5927711123167,"{""type"":""Point"",""coordinates"":[-58.40041,-34.59277]}"
Avda. Gaona 1734,,Inst. San Pedro Nolasco,Inst. San Pedro Nolasco,4581-1968,nolasco@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4527449878976,-34.6112055344271,"{""type"":""Point"",""coordinates"":[-58.45274,-34.61121]}"
José Juan Biedma 924,,Inst. Profesional San Jose,Inst. Profesional San José,4581-9173,sanjo@vol.com.ar,MedCom,Gestion Privada,-58.4553204306677,-34.6140492863577,"{""type"":""Point"",""coordinates"":[-58.45532,-34.61405]}"
Bahía Blanca 363,,Inst. Adelia Maria Harilaos de Olmos,I Adelia María Harilaos de Olmos,4672-7090,,IniCom - MedCom,Gestion Privada,-58.4819352257182,-34.6297292808148,"{""type"":""Point"",""coordinates"":[-58.48194,-34.62973]}"
Yatay 240,,Escuela Tecnica Ort 01,Escuela Técnica Ort 01,4958-9000/9090,secesc1@ort.edu.ar,MedCom,Gestion Privada,-58.4291691032182,-34.609958329718,"{""type"":""Point"",""coordinates"":[-58.42917,-34.60996]}"
Avda. Acoyte 75,,Inst. Carlos Pellegrini,I Carlos Pellegrini,4901-3297,,MedCom - MedAdu,Gestion Privada,-58.4367464538646,-34.6173568109254,"{""type"":""Point"",""coordinates"":[-58.43675,-34.61736]}"
Acevedo 276,,Inst. Dr. Herzl,I Dr. Herzl,4855-4062 4854-9745,,IniCom - PriCom,Gestion Privada,-58.4421980356807,-34.5991566094831,"{""type"":""Point"",""coordinates"":[-58.4422,-34.59916]}"
Yerbal 65,,Fund. Salottiana (Summa),Fund. Salottiana (Summa),4901-7118,summa@interserver.com.ar,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4314961893365,-34.6145703068146,"{""type"":""Point"",""coordinates"":[-58.4315,-34.61457]}"
Gurruchaga 338,Serrano 341,Escuela Secundaria Integral Scholem Aleijem,Esc. Secundaria Integral Scholem Aleijem,4855-4200,scholemsecun@arnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4435068690652,-34.5985680361101,"{""type"":""Point"",""coordinates"":[-58.44351,-34.59857]}"
Antonio Machado 628,,Inst. del Profesorado en Enfermeria Padre Luis Tezza,I del Prof en Enfermería Padre L.Tezza,4854-0032,profetezza@intramed.net.ar,SNUCom - Otras,Gestion Privada,-58.4405809729212,-34.6066997346315,"{""type"":""Point"",""coordinates"":[-58.44058,-34.6067]}"
Serrano 557,,Inst. Integral Mundo Nuevo,Inst. Integral Mundo Nuevo,4854-2019,mundonuevo@sinectis.com.ar,IniCom - PriCom,Gestion Privada,-58.4417085238306,-34.5959770805483,"{""type"":""Point"",""coordinates"":[-58.44171,-34.59598]}"
Nicasio Orońo 942,,Inst. Orsino,Inst. Orsino,4581-8001,orsino@ssdnet,IniCom - PriCom - MedCom - MedAdu - SNUCom,Gestion Privada,-58.4545008152612,-34.6137763525249,"{""type"":""Point"",""coordinates"":[-58.4545,-34.61378]}"
Yatay 240,,Inst. de Tecnologia Ort 01,I de Tecnología Ort 01,4958-4411/9000,recitol@ort.edu.ar,SNUCom,Gestion Privada,-58.4291691032182,-34.609958329718,"{""type"":""Point"",""coordinates"":[-58.42917,-34.60996]}"
Río de Janeiro 663,,Inst. Sudamericano Modelo,I. Sudamericano Modelo,4982-4163,ism@twinnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4304203601855,-34.6077160665715,"{""type"":""Point"",""coordinates"":[-58.43042,-34.60772]}"
Lavalleja 180,,Inst. Sarmiento,Inst. Sarmiento,4854-4873,egbsar@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4369850865052,-34.60241382325,"{""type"":""Point"",""coordinates"":[-58.43699,-34.60241]}"
Dr. Juan Felipe Aranguren 723,,Colegio Integral Caballito,Colegio Integral Caballito,4901-0843 4432-7360,colegiocaballito@fibertel.com.,IniCom - PriCom,Gestion Privada,-58.4427891764652,-34.6145413326218,"{""type"":""Point"",""coordinates"":[-58.44279,-34.61454]}"
Lavalleja 250,,Inst. Educ. Alas,I Educativo Alas,4857-1428,colegioalas@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4360883126145,-34.6018165469781,"{""type"":""Point"",""coordinates"":[-58.43609,-34.60182]}"
Salta 2290,,Escuela Parroquial Sta. Elisa,Escuela Parroquial Sta. Elisa,4305-3613,,IniCom - PriCom,Gestion Privada,-58.3823840159009,-34.6338978773076,"{""type"":""Point"",""coordinates"":[-58.38238,-34.6339]}"
Achala 3679,,Inst. Priv. Inmaculada Concepcion,I. Priv. Inmaculada Concepción,4911-1773/1345,,IniCom - PriCom - MedCom,Gestion Privada,-58.4154123401146,-34.6421990563083,"{""type"":""Point"",""coordinates"":[-58.41541,-34.6422]}"
Isabel La Católica 221,,Inst. Parroquial Sta. Lucia,I. Parroquial Sta. Lucía,4362-6061,,IniCom - PriCom,Gestion Privada,-58.3743170015974,-34.6344690130875,"{""type"":""Point"",""coordinates"":[-58.37432,-34.63447]}"
Avda. Manuel A. Montes de Oca 140,,Inst. Vitra,Inst. Vitra,4307-6813/7252,fund@fundacionvitra.com.ar,IniEsp - PriEsp - MedCom,Gestion Privada,-58.3769087039646,-34.6297671441307,"{""type"":""Point"",""coordinates"":[-58.37691,-34.62977]}"
Avda. Entre Ríos 1956,,Inst. Los Angeles,Inst. Los Angeles,4305-7399,info@langeles.esc.edu.ar,PriEsp - MedEsp,Gestion Privada,-58.390524538047,-34.6310060528082,"{""type"":""Point"",""coordinates"":[-58.39052,-34.63101]}"
Ituzaingó 831,,Inst. Educ. Barracas,I Educ. Barracas,4307-1275,barracasdey@sion.com,IniCom - PriCom,Gestion Privada,-58.3754860295156,-34.6314684214744,"{""type"":""Point"",""coordinates"":[-58.37549,-34.63147]}"
Gral. Hornos 882,,Inst. Tiempo Educativo,I Tiempo Educativo,4307-7214 4301-3896,tiempoeducativo@sinectis.com.a,IniCom - PriCom,Gestion Privada,-58.3764353204314,-34.636988254304,"{""type"":""Point"",""coordinates"":[-58.37644,-34.63699]}"
Avda. Brasil 825,,El Solcito de Catalina,El Solcito de Catalina,4300-4272,,IniCom,Gestion Privada,-58.3766207236696,-34.626369405006,"{""type"":""Point"",""coordinates"":[-58.37662,-34.62637]}"
24 de Noviembre 827,,Inst. Mater Ter Admirabilis,I. Mater Ter Admirabilis,4931-0608/5980,secsecmater@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4109146874952,-34.6206860979081,"{""type"":""Point"",""coordinates"":[-58.41091,-34.62069]}"
Yapeyú 197,,Inst. Pio IX,Inst. Pío IX,4981-1337/1985,colegiopio9@sinectis.com.ar,MedCom,Gestion Privada,-58.4218170141642,-34.6144482357928,"{""type"":""Point"",""coordinates"":[-58.42182,-34.61445]}"
Hipólito Yrigoyen 3900,,Inst. San Francisco de Sales,I. San Francisco de Sales,4982-5400,,IniCom - PriCom - MedCom,Gestion Privada,-58.4214444343068,-34.6148604193699,"{""type"":""Point"",""coordinates"":[-58.42144,-34.61486]}"
Yapeyú 132,,Inst. Maria Auxiliadora,Inst. María Auxiliadora,4981-7081/5242,imadirecciongeneral@ciudad.com,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4217263374248,-34.6137798979507,"{""type"":""Point"",""coordinates"":[-58.42173,-34.61378]}"
La Rioja 660,,Inst. Hogar de Nińos Ramon L. Falcon,I. Hogar de Nińos Ramón L. Falcón,4931-3159,,MedCom,Gestion Privada,-58.4079889844093,-34.6176218580255,"{""type"":""Point"",""coordinates"":[-58.40799,-34.61762]}"
Avda. Jujuy 2179,,Inst. Ntra. Sra. de Lujan,I. Ntra. Sra. de Luján,4308-3434 4941-4666,,IniCom - PriCom - MedCom,Gestion Privada,-58.3992045766604,-34.6355763589338,"{""type"":""Point"",""coordinates"":[-58.3992,-34.63558]}"
Pte. José Evaristo Uriburu 1013,,Inst. San Tarsicio,Inst. San Tarsicio,4805-9889,santarsicio@ciudad.com.ar,MedCom,Gestion Privada,-58.3986418962078,-34.5967023876827,"{""type"":""Point"",""coordinates"":[-58.39864,-34.5967]}"
24 de Noviembre 1665,,Inst. San Vicente de Paul,I. San Vicente de Paul,4911-0286,sanvicentepaul@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4099382429465,-34.6307134464773,"{""type"":""Point"",""coordinates"":[-58.40994,-34.63071]}"
Avda. Jujuy 1241,,Inst. San Cristobal,Inst. San Cristóbal,4941-2760 4943-4408,,IniCom - PriCom - MedCom,Gestion Privada,-58.4022171106021,-34.6244230144232,"{""type"":""Point"",""coordinates"":[-58.40222,-34.62442]}"
Avda. Chiclana 3659,,Inst. San Bartolome,Inst. San Bartolomé,4921-4440,,IniCom - PriCom - MedCom,Gestion Privada,-58.4154317662792,-34.6368519212767,"{""type"":""Point"",""coordinates"":[-58.41543,-34.63685]}"
24 de Noviembre 900,,Inst. Sta. Cruz,Inst. Sta. Cruz,4957-3306 4931-8908,,IniCom - PriCom - MedCom,Gestion Privada,-58.4105685580761,-34.6217860216627,"{""type"":""Point"",""coordinates"":[-58.41057,-34.62179]}"
Gral. Urquiza 167,,Inst. Superior de Electronica Gral. Savio,I. Sup.de Electrónica Gral. Savio,4931-7164,ise@ise.com.ar,SNUCom,Gestion Privada,-58.410261738607,-34.6122961099682,"{""type"":""Point"",""coordinates"":[-58.41026,-34.6123]}"
Avda. Juan de Garay 2482,,Inst. Pedro Enrique,Inst. Pedro Enrique,4941-8842/4147,,IniCom - PriCom - MedCom,Gestion Privada,-58.3995146016463,-34.6286583998329,"{""type"":""Point"",""coordinates"":[-58.39951,-34.62866]}"
Moreno 1921,,Inst. Obra Cardenal Ferrari,I. Obra Cardenal Ferrari,4951-8908 4952-2205,icf@redynet.cor.ar,SNUCom,Gestion Privada,-58.393594706523,-34.612713523186,"{""type"":""Point"",""coordinates"":[-58.39359,-34.61271]}"
Moreno 3363,,Esc. Central de Especialidades Paramédicas de la Cruz Roja Argentina,E.Central Espec.Paramédicas Cruz Roja,4863-7227/7739,,SNUCom,Gestion Privada,-58.4138485600682,-34.6141378381354,"{""type"":""Point"",""coordinates"":[-58.41385,-34.61414]}"
Avda. Córdoba 3933,,Escuela de Enfermeria del Htal. Frances,Escuela.de Enfermería Htal. Francés,4866-2546/60 4959-1565,,SNUCom,Gestion Privada,-58.4222248380612,-34.5976046821933,"{""type"":""Point"",""coordinates"":[-58.42222,-34.5976]}"
Alberti 191,,Inst. Amado Olmos Atsa,I Amado Olmos Atsa,4952-0660/0592,,MedAdu - SNUCom - Otras,Gestion Privada,-58.4016832094116,-34.6120086211504,"{""type"":""Point"",""coordinates"":[-58.40168,-34.61201]}"
Carbajal 3250,,Santa Catalina de Belgrano,Sta. Catalina de Belgrano,4552-4353/8572,stcatch@ciudad.com.ar,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4606253794971,-34.5716952924516,"{""type"":""Point"",""coordinates"":[-58.46063,-34.5717]}"
Virrey del Pino 3511,,Inst. Mekhitarista,Inst. Mekhitarista,4552-3690,mekhitarista@altavista.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4649984417513,-34.5726379529843,"{""type"":""Point"",""coordinates"":[-58.465,-34.57264]}"
Cuba 3302,,Inst. de Enseńanza Primaria Gral. San Martin,I de Enseńanza Primaria Gral. San Martín,4701-0864,igsm@fibertel.com.ar,IniCom - PriCom,Gestion Privada,-58.4645987575253,-34.5501751148102,"{""type"":""Point"",""coordinates"":[-58.4646,-34.55018]}"
Manuela Pedraza 3978,,Inst. Sta. Maria de los Angeles,I. Sta. María de los Angeles,4542-2089 4543-3142,isma@arnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.480213253135,-34.5592978755081,"{""type"":""Point"",""coordinates"":[-58.48021,-34.5593]}"
Federico García Lorca 350,,Inst. Argentino del Deporte,I Argentino del Deporte,4431-4970,,SNUCom,Gestion Privada,-58.4456009967396,-34.6178681862009,"{""type"":""Point"",""coordinates"":[-58.4456,-34.61787]}"
Otamendi 28,,Inst. Priv. Union Docentes Argentinos,I. Priv. Unión Docentes Argentinos,4902-1506/07/08 4904-234,,SNUCom,Gestion Privada,-58.4319032291416,-34.6158404853257,"{""type"":""Point"",""coordinates"":[-58.4319,-34.61584]}"
Yatay 129,,Inst. de Formacion Profesional Superior,I Formación Profesional Superior,4981-8207/6050,ifps@radar.com.ar,SNUCom,Gestion Privada,-58.4285336367894,-34.6123035637254,"{""type"":""Point"",""coordinates"":[-58.42853,-34.6123]}"
Acevedo 262,,Escuela Terciaria de Est. Radiofonicos,Esc. Terciaria de Estudios Radiofónico,4857-5701/02,info@eter.com.ar,SNUCom,Gestion Privada,-58.4422875733218,-34.5992178704325,"{""type"":""Point"",""coordinates"":[-58.44229,-34.59922]}"
Avda. Gaona 2197,,Escuela del Policlinico Bancario 9 de julio,Esc. del Policlinico Bancario,4586-8888/13,docencia@osba.com,SNUCom,Gestion Privada,-58.4575128900424,-34.6128864223548,"{""type"":""Point"",""coordinates"":[-58.45751,-34.61289]}"
Yerbal 1755,,Inst. Superior de Psicologia Social,I. Superior de Psicología Social,4631-3582/9424,www.esps.com.ar,SNUCom,Gestion Privada,-58.4554631662282,-34.6247258095074,"{""type"":""Point"",""coordinates"":[-58.45546,-34.62473]}"
Jorge Luis Borges 1791,,Inst. Jardin Amapola,Inst. Jardin Amapola,4831-3914,,IniCom,Gestion Privada,-58.4282723192969,-34.5876095578837,"{""type"":""Point"",""coordinates"":[-58.42827,-34.58761]}"
Paraguay 5115,,Inst. Modelo de Educación Preescolar,I Modelo Educ. Preescolar,4772-1218,,IniCom,Gestion Privada,-58.4301994338775,-34.579883307381,"{""type"":""Point"",""coordinates"":[-58.4302,-34.57988]}"
Gurruchaga 568,,Inst. Villa Soles,I. Villa Soles,4854-6364,villasoles@sinects.com.ar,SNUCom,Gestion Privada,-58.4407797023254,-34.5965561226602,"{""type"":""Point"",""coordinates"":[-58.44078,-34.59656]}"
Avda. Federico Lacroze 2443,,FOCUS Consultoria Sistemas,FOCUS,4777-2164,conselnig.focus@impsat1.com.ar,SNUCom,Gestion Privada,-58.4454335361916,-34.5706245707647,"{""type"":""Point"",""coordinates"":[-58.44543,-34.57062]}"
Ciudad de la Paz 394,,Formacion de Ciencias Empresariales,Formación de Ciencias Empresariales,4553-6351 4701-7898,ilce@vol.com.ar,SNUCom,Gestion Privada,-58.4423207724941,-34.5739928595045,"{""type"":""Point"",""coordinates"":[-58.44232,-34.57399]}"
Avda. Cabildo 1478,,Inst. Superior Letras Eduardo Mallea,I. Superior Letras Eduardo Mallea,4782-2701,lmundet@ciudad.com.ar,SNUCom,Gestion Privada,-58.4506244913181,-34.5672800357253,"{""type"":""Point"",""coordinates"":[-58.45062,-34.56728]}"
Moldes 1825,,Colegio de la Ciudad,Colegio de la Ciudad,5786-5786,colegiodelaciudad@mail.com,MedCom,Gestion Privada,-58.4571587791269,-34.5661790567339,"{""type"":""Point"",""coordinates"":[-58.45716,-34.56618]}"
Cuba 1754,,Inst. Manuel Belgrano,Inst. Manuel Belgrano,4784-0654,cmb@cmb.org.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4520273663167,-34.5642569294585,"{""type"":""Point"",""coordinates"":[-58.45203,-34.56426]}"
Crámer 2370,,Inst. Ntra. Sra. del Sagrado Corazon,I. Ntra. Sra. del Sagrado Corazón,4781-1277,nsdsc@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4636779548394,-34.5623861290594,"{""type"":""Point"",""coordinates"":[-58.46368,-34.56239]}"
Juramento 3035,,Belgrano Day School,Belgrano Day School,4781-6011,info@basesc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4627561752558,-34.5654927115688,"{""type"":""Point"",""coordinates"":[-58.46276,-34.56549]}"
Avda. Melián 1880,,Buenos Aires English High School,BA English High School,4552-1533/6778,colegio@baehs.com.ar,IniCom - PriCom,Gestion Privada,-58.4657791920351,-34.5706356159091,"{""type"":""Point"",""coordinates"":[-58.46578,-34.57064]}"
Ciudad de la Paz 1839,,Inst. Ntra. Sra. del Rosario,I. Ntra. Sra. del Rosario,4784-6788,,IniCom - PriCom - MedCom,Gestion Privada,-58.4554597780288,-34.5650183487619,"{""type"":""Point"",""coordinates"":[-58.45546,-34.56502]}"
Avda. Crisólogo Larralde 2551,,Inst. San Francisco de Asis,I. San Francisco de Asís,4702-8960,postmaster@cf01504.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4697947428867,-34.5497224037291,"{""type"":""Point"",""coordinates"":[-58.46979,-34.54972]}"
Mcal. Antonio José de Sucre 3668,,Inst. Sta. Margarita,Inst. Sta. Margarita,4551-2942,info@stmargaret.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4673881127098,-34.5713271667245,"{""type"":""Point"",""coordinates"":[-58.46739,-34.57133]}"
Conesa 1846,,Inst. Incorp. Patrocinio de San Jose,I. Incorp. Patrocinio de San José,4784-4500,,IniCom - PriCom - MedCom,Gestion Privada,-58.4603902679754,-34.5678217296946,"{""type"":""Point"",""coordinates"":[-58.46039,-34.56782]}"
Avda. Olazábal 1440,,Inst. Sta. Ana y San Joaquin,I. Sta. Ana y San Joaquín,4783-9007,staana@elsitio.net,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.448596080267,-34.5545163454372,"{""type"":""Point"",""coordinates"":[-58.4486,-34.55452]}"
Roque Pérez 4334,,Inst. La Salette,Inst. La Salette,4542-2389/2215,lasalette@interar.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4833832805227,-34.548907306561,"{""type"":""Point"",""coordinates"":[-58.48338,-34.54891]}"
Ecuador 1370,,El Oso Clarinete,El Oso Clarinete,4821-5604,,IniCom,Gestion Privada,-58.4039677160632,-34.5945463782011,"{""type"":""Point"",""coordinates"":[-58.40397,-34.59455]}"
Paso 51,,Inst. Argentino Gallego,I Argentino Gallego,4954-6637,colsantapostol@infovia.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4032406845076,-34.6092614229585,"{""type"":""Point"",""coordinates"":[-58.40324,-34.60926]}"
Dr. Tomás Manuel de Anchorena 719,,Inst. de Educ. Superior Toratenu,I Educ. Superior Toratenu,4961-5255/4656 int. 140,profesorado2@tutopĄa.com,SNUCom,Gestion Privada,-58.4089020492277,-34.6004738720048,"{""type"":""Point"",""coordinates"":[-58.4089,-34.60047]}"
Guardia Vieja 3983,,Jardin Retońo,Jardín Retońo,4864-8853 4866-4615,cortinez@ciudad.com.ar,IniCom,Gestion Privada,-58.420239695358,-34.6006367148262,"{""type"":""Point"",""coordinates"":[-58.42024,-34.60064]}"
Bulnes 1350,,Inst. Buenos Aires de Comunicacion,I BA de Comunicación,4863-9172/9142,bsascomunicaci˘n@ciudad.com.ar,SNUArt,Gestion Privada,-58.416989766273,-34.5959792545174,"{""type"":""Point"",""coordinates"":[-58.41699,-34.59598]}"
Avda. Corrientes 2148,,Inst. Instrumentos Ciencias de la Salud,Inst. Inst. Ciencias Salud,4953-2148,instrumentos@uol.com.ar,SNUCom,Gestion Privada,-58.3974388038117,-34.6046977383131,"{""type"":""Point"",""coordinates"":[-58.39744,-34.6047]}"
Ayacucho 243,,Inst. San Luis Gonzaga,I. San Luis Gonzaga,4953-8430,,IniCom - PriCom,Gestion Privada,-58.3949295254074,-34.6066476621996,"{""type"":""Point"",""coordinates"":[-58.39493,-34.60665]}"
Agüero 2260,,Inst. Abierto y a Distancia Hernandarias,I Abierto a Distancia Hernandarias,4805-8333,,SNUCom,Gestion Privada,-58.4006503606031,-34.5867134007606,"{""type"":""Point"",""coordinates"":[-58.40065,-34.58671]}"
Perú 759,,Inst. Industrial Luis A. Huergo,I. Industrial Luis A. Huergo,4362-9428/9964,info@huergo.edu.ar,MedCom,Gestion Privada,-58.374570737801,-34.6167471129947,"{""type"":""Point"",""coordinates"":[-58.37457,-34.61675]}"
Padre Canavery 1331,,Inst. Colina de Roble,I Colina de Roble,4703-4304,,IniCom - PriCom,Gestion Privada,-58.4558792834656,-34.5410307292909,"{""type"":""Point"",""coordinates"":[-58.45588,-34.54103]}"
Montevideo 1050,,Inst. Champagnat,I Champagnat,4811-0814,champagnat@maristas.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.3900485852309,-34.5967637717618,"{""type"":""Point"",""coordinates"":[-58.39005,-34.59676]}"
Paraguay 1766,,Inst. del Carmen,I del Carmen,4812-0739,,IniCom - PriCom - MedCom,Gestion Privada,-58.3925372397995,-34.5987679666404,"{""type"":""Point"",""coordinates"":[-58.39254,-34.59877]}"
Juncal 2623,,Inst. Colegio San Tarsicio,I C. San Tarsicio,4822-2150,,IniCom - PriCom,Gestion Privada,-58.4033961694975,-34.590054300586,"{""type"":""Point"",""coordinates"":[-58.4034,-34.59005]}"
Riobamba 650,Ayacucho 665,Inst. de La Salle,I de La Salle,4374-6449 4373-2760,info@delasalleterciario.com.ar,IniCom - PriCom - PriEsp - MedCom - MedEsp - SNUCom,Gestion Privada,-58.3942823844464,-34.601452409879,"{""type"":""Point"",""coordinates"":[-58.39428,-34.60145]}"
Azcuénaga 158,Bartolomé Mitre 2455,Inst. San Jose,Inst. San José,4951-4303,sanjose@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4007340008301,-34.6078630303231,"{""type"":""Point"",""coordinates"":[-58.40073,-34.60786]}"
Paraguay 834,,San Maron,San Marón,4311-7299 4312-8348 Fax,sanmaron@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.3788463773882,-34.5977682371103,"{""type"":""Point"",""coordinates"":[-58.37885,-34.59777]}"
